keyName,keyGroup,requestsRecovery
Ussd_endpoint,Test,False
test_kafka,Test,False
test_01_sync_external,Movistar,False
Testschedule,Test,False
test_22_12,Movistar,False
test_demo_18_05,CSU,False
prod-bivf-refresh-dap,bivf,False
NotificationBulk_internal,Test,False
Test_24_06,USSD,True
tets2406,Test,True
Test_Update_Put,Test,True
PATCH_Internal,Test,True
Ussd_scheduler,USSD,False
test_cron,Test,False
prod-bivf-refreshall,bivf,False
Test_27_01,Test,True
test_11,CSU,False
prod-bivf-refresh-telefonica-peru,bivf,False
TEst_30_06_0002,Test,True
Test_cron_new_sso  22_07,Test,True
TEst_30_06uddd,CSU,True
test2Cron,Movistar,False
IDCSScheduler,Test,False
dev-bivf-refresh-telefonica-peru,bivf,False
Test,Movistar,False
Test_20_06,Movistar,True
TEst_GET_SSO,CSU,True
Test_Custom,Test,True
Test_cron new_ fun2,Test,True
Update API,Test,True
test,CSU,True
CreditScoringScheduler,USSD,False
NotificationBulk_external,CSU,False
Test_20_06_011,CSU,True
Test240efewlkf,CSU,True
Load12052,CSU,True
Test240efew9t8,CSU,True
test_kafka,bivf,True
New_scheduler_test1,CSU,False
Test_cron74,Test,True
TEst_GET_SSO1,CSU,True
Test weekly,Test,True
Load12052dr,r,True
kjdscnasdcln,Test,True
TEst_10_07,CSU,True
test3Cron,Movistar,True
IDCAScheduler,Test,False
dev-bivf-refreshall,bivf,False
test_16_05,Movistar,False
Test17_05,CSU,False
test_18_0501,CSU,False
Test123_01,Test,True
API_LookUP_Intetrnal,Test,False
Delete_SSO,Test,True
NotificationBulk_Internal_18_07,Test,True
dev-bivf-refresh-dap,bivf,False
dev-bivf-base_image_refresh,bivf,False
Zeebe_publish_internal,Test,False
test_16,Movistar,False
test22_06,CSU,False
API_LookUP_extetrnal,Test,False
mqseq_processor1,CSU,True
