keyName,keyGroup,requestsRecovery
test_11,CSU,False
New_scheduler_test1,CSU,False
Testschedule,Test,False
Ussd_endpoint,Test,False
test_01_sync_external,Movistar,False
test_22_12,Movistar,False
test_kafka,Test,False
Ussd_scheduler,USSD,False
IDCAScheduler,Test,False
test2Cron,Movistar,False
IDCSScheduler,Test,False
CreditScoringScheduler,USSD,False
dev-bivf-refreshall,bivf,False
test_16_05,Movistar,False
dev-bivf-refresh-dap,bivf,False
Test17_05,CSU,False
test_demo_18_05,CSU,False
NotificationBulk_external,CSU,False
prod-bivf-refresh-dap,bivf,False
prod-bivf-refresh-telefonica-peru,bivf,False
dev-bivf-refresh-telefonica-peru,bivf,False
test_cron,Test,False
prod-bivf-refreshall,bivf,False
dev-bivf-base_image_refresh,bivf,False
test_18_0501,CSU,False
NotificationBulk_internal,Test,False
Zeebe_publish_internal,Test,False
test_16,Movistar,False
Test,Movistar,False
Test_20_06,Movistar,True
test22_06,CSU,False
Test_20_06_011,CSU,True
Test123_01,Test,True
API_LookUP_extetrnal,Test,False
Test_24_06,USSD,True
TEst_GET_SSO,CSU,True
Test_cron74,Test,True
tets2406,Test,True
API_LookUP_Intetrnal,Test,False
TEst_GET_SSO1,CSU,True
Test240efewlkf,CSU,True
Test weekly,Test,True
Delete_SSO,Test,True
Load12052dr,r,True
TEst_30_06_0002,Test,True
Load12052,CSU,True
Test_Custom,Test,True
kjdscnasdcln,Test,True
Test_Update_Put,Test,True
NotificationBulk_Internal_18_07,Test,True
TEst_10_07,CSU,True
Test_cron new_ fun2,Test,True
Update API,Test,True
Test_cron_new_sso  22_07,Test,True
Test240efew9t8,CSU,True
PATCH_Internal,Test,True
Test_27_01,Test,True
test3Cron,Movistar,True
TEst_30_06uddd,CSU,True
test_kafka,bivf,True
mqseq_processor1,CSU,True
test,CSU,True
===============
SERVICE_NAME,SERVICE_TYPE,METHOD,STATUS
